"View","Name of Firm","Trade Name","unknown","unknown","Address, line 1","Address, line 2","City","State","Zip","Capabilities Narrative"
"439","MAYBURY ASSOCIATES, INC.","MAYBURY MATERIAL HANDLING","ROBERT FOSKITT","","90 DENSLOW RD","","EAST LONGMEADOW","MA","01028-3103","Engineering, Design, Fabrication and Installation of Material Handling Equipment."
"440","Anderson Aquino LLP","","John Aquino","","240 LEWIS WHARF","","BOSTON","MA","02110-3927",""
"441","JOHN LEONARD EMPLOYMENT SERVICES INC","","JENNIFER C. DELUCIA","Executive Vice President","75 FEDERAL ST STE 1120","","BOSTON","MA","02110-1945","Temporary and direct-hire staffing service providing administrative, customer service, information technology, sales/marketing, accounting, and light industrial personnel to all industries."
"442","ADAMSON INDUSTRIES, CORP.","","STEVEN CONTARINO","","45 RESEARCH DR","","HAVERHILL","MA","01832-1293",""
"443","Adam Graphic Corporation","","NANCY  L RUO","","16 MASON AVE STE 4","","NORTH ATTLEBORO","MA","02760-6332",""
"444","Consolidated Machine Corporation","Consteril","KATIE  KENNEY","Vice President","3 Enterprise Rd 3C","","Billerica","MA","01821-5735","Manufacturer of steam sterilizer/autoclaves and water stills."
"445","MERRIAM-WEBSTER, INCORPORATED","","MATTHEW DUBE","","47 FEDERAL ST","","SPRINGFIELD","MA","01105-1127",""
"446","LiveData Utility Solutions, Inc.","","Charles Trocano","","810 Memorial Dr Ste 3R","","Cambridge","MA","02139-4642","LiveData Real-Time Integration solutions configure, transform, and analyze data to deliver validated operational intelligence reliably, securely, and in real time."
"447","WESTERBEKE CORPORATION","","GREGORY HAIDEMENOS","","150 JOHN HANCOCK ROAD","","TAUNTON","MA","02780-0000",""
"448","Northeast Painting Associates, Inc","Northampton Paint Center","Christopher  J Hellyar","","881 North King St","","Northampton","MA","01060-1129",""
"449","Gateway Center Corp","","JOHN H PEARSON JR","","10 George St","","Lowell","MA","01852-2241",""
"450","BMCA INC","AIR DUCT SERVICES","John Evans","","100 MESSINA DR STE U","","BRAINTREE","MA","02184-6707",""
"451","Sonny's Glass Tinting LLC","SONNY's GLASS TINTING","George Fisher","","434 CENTRAL ST","","SAUGUS","MA","01906-3656",""
"452","Web Industries Inc.","","David  L Pippa","","700 NICKERSON RD STE 250","","MARLBOROUGH","MA","01752-4715",""
"453","Quantech Services Inc.","","Robert Paradiso","PRESIDENT","91 Hartwell Ave","","Lexington","MA","02421-3137","Quantech's functional areas of expertise are Budget Planning & Execution, Cost Estimating/Analysis, Project Management, Earned Value Analysis Systems/Software Engineering, Logistics Planning & Analysis and Information Technology Services."
"454","DePrizio Paving & Construction Company Inc","Deprizio & Garafano Construction","LOUIS J DePrizio","","793 TURNPIKE ST # 3","","NORTH ANDOVER","MA","01845-6170",""
"455","Aulson Company, LLC, The","","ALAN  P  AULSON JR","","49 Danton Dr","","Methuen","MA","01844-1513","Turnkey industrial and environmental specialty contracting services for commercial, industrial, residential, military and public agencies."
"456","Software Artisans, Inc.","Softartisans","Dan Medeiros","","3 Brook St","","Watertown","MA","02472-2314",""
"457","HALVORSON DESIGN PARTNR INC","","CHARLES P. KOZLOWSKI","","25 KINGSTON ST","","BOSTON","MA","02111-2200",""
"458","ARLAND TOOL & MFG, INC.","","KEITH  GAGNON","","421 MAIN ST","","STURBRIDGE","MA","01566-1055","Largest contract machining shop on east coast. Heavily into engineering supported by CNC capabilities. Power Generation our main field."
"459","BULBS.COM INC","","Michael Connors","","243 STAFFORD ST","","WORCESTER","MA","01603-1168",""
"460","Central Signal Corp.","Central Signal Corp/sentinel Alarm Co","Linda  Cochran","","607 N Ave Bldg 18 Fl 2","","Wakefield","MA","01880-1322",""
"461","SYNAGEX INC.","","John  Sinopoli","","75 S CHURCH STREET STE 601","","PITTSFIELD","MA","01201-6143",""
"462","WIN ENTERPRISES, INC.","","Paul Sheedy","","300 WILLOW ST S","","NORTH ANDOVER","MA","01845-5920",""
"463","New Horizons Communications Corp.","","Stephen Gibbs","","200 Baker Ave Ste 300","","Concord","MA","01742-2178","We are local exchange company. Have worked with the veterans admin."
"464","BOSTON CHIMNEY & TOWER CO., LLC","","John O Hansen","","24 Caller St","","Peabody","MA","01960-5614",""
"465","PASEK CORP.","","David Alessandrini","","9 W 3RD ST","","BOSTON","MA","02127-1102",""
"466","CICORIA TREE & CRANE SERVICE, INC.","","Mark A Cicoria","","30 LP HENDERSON RD","","BEVERLY","MA","01915-1024",""
"467","CODE RED CONSULTANTS LLC","","Christopher J Lynch","","154 TURNPIKE RD STE 200","","SOUTHBOROUGH","MA","01772-2120",""
"468","FSN SERVICES AND COMMUNICATIONS, LLC.","","noel frattasio","","87 BROADWAY","","HANOVER","MA","02339-2309",""
"469","Maya Simulation Technologies ","","Garo Khaznadjian","","34 Southwest Park ","","Westwood","MA","02090-1548",""
"470","Soitec USA, Inc","","SUSAN FREDRICK","","2 BLACKBURN CTR","","GLOUCESTER","MA","01930-2201",""
"471","Enevolv, Inc.","enEvolv","Colin South","","200 Boston Ave, Ste 2975","","Medford","MA","02155-4243","Engineer and license microorganisms that produce chemicals, enzymes and small molecules."
"472","M J BRADLEY & ASSOCIATES LLC","","Paul Moynihan","","47 JUNCTION SQUARE DR","","CONCORD","MA","01742-3049",""
"473","GASPAR'S SAUSAGE CO.,INC.","","ROBERT  A. GASPAR","","384 FAUNCE CORNER RD","","NORTH DARTMOUTH","MA","02747-1257",""
"474","WELFAB, INC.","","Bruce A Martin","","100 RANGEWAY RD","","NORTH BILLERICA","MA","01862-2133",""
"475","PSMJ RESOURCES, INC.","PSMJ","DAVID BURSTEIN","","10 MIDLAND AVE","","NEWTON","MA","02458-1000",""
"476","MARSHALL ACQUISITION CORP.","","Paul Mamane","","71 MASON TERRACE","","BROOKLINE","MA","02446-2602",""
"477","RED JACKET RESORTS","","ALAN BEARSE","","20 N MAIN ST","","SOUTH YARMOUTH","MA","02664-3150",""
"478","Electronic Product Solutions LLC ","Micro Sata Cables ","Doug  Girdwood","","1A Post Office Square Unit I ","","Acton","MA","01720-0000",""
"479","Corps Security Inc.","","Gerald A KLEIN","","9 Wheatland Street","","Peabody","MA","01960-2805",""
"480","CuriRx Inc.","","Indu Javeri","","205 LOWELL ST # 1C","","WILMINGTON","MA","01887-2941",""
"481","HIGH VELOCITY EDGE LLC, THE","","STEVEN SPEAR","","195 TAPPAN ST","","BROOKLINE","MA","02445-5819","Certain organizations deliver way more value, quicker, easier than their counterparts, doing much more with much less, generating wins for all stakeholders--customers and other beneficiaries, employees, and payers and funders.  They do so on the strength of their far superior knowledge and skills, which are the direct accumulated consequence of faster learning by the aggressive seeking and solving of problems. Our firm, HVE LLC, works with organizations to develop this hyper powerful learning dynamic, in turn enabling them to do so much more with so much less. This capability is delivered in a variety of educational and advisory modalities with great successes in high tech product development and operations, manufacturing, and services like healthcare and software."
"482","SAINT FRANCIS HOME","SAINT FRANCIS HOME MAIN","Katie Joyce","","101 PLANTATION ST","","WORCESTER","MA","01604-3025",""
"483","MARK & DENA SALZBERG","","MARK  SALZBERG","","65 KENILWORTH ST","","NEWTON","MA","02458-2705",""
"484","Maxmind, Inc.","","Jason Ketola","","14 Spring St Fl 3","","Waltham","MA","02451-4429",""
"485","EAST COAST REFINISHING & SURFACE STRIPPING","","BENJAMIN  T MELLE","","4 INDUSTRIAL DR","","PITTSFIELD","MA","01201-8236",""
"486","H-Mac Systems, Inc.","","KEVIN MCERLEAN","","153 NORTHBORO RD STE 19","","SOUTHBOROUGH","MA","01772-1034","H-Mac Systems sells a wide range of heating, ventilation, and air conditioning equipment as well as generators."
"487","Save DD LLC","","JOHNSON G KAJARA","","10 Lyons St","","Haverhill","MA","01832-4610","Save DD LLC. Our mission is to promote all kinds of individuals to experience the fullest life possible by providing medical products and skilled labor services.Individuals with disabilities.Having access resources they need to live well and thrive.By providing services in Therapy Services, House keeping Services, Personal Care Services, Companionship Services, Medical Social Services, Live in Care, Respite Care, Travel Support."
"488","Conceptual Holdings LLC","","David Reid","","593 Washington St","","Wellesley","MA","02482-6411",""
"489","Mobility & More LLC","Mobility and More","Stephen Bibeau","","65 PARKER ST STE 4","","NEWBURYPORT","MA","01950-4600",""
"490","Clogbusters Underground Technologies, Inc.","","Herbert Bickerstaffe","","46 Cayuga Ave","","Mashpee","MA","02649-4964",""
"491","CASIMIR SYSTEMICS LLC","","James Joseph Cohen","","7 FANARAS DR","","SALISBURY","MA","01952-1444",""
"492","Technology Solutions Experts, Inc.","","Hadeer El Samaloty","","209 W CENTRAL ST STE 202","","NATICK","MA","01760-3716",""
"493","Delsignore Electrical Contractors, Inc.","","Joseph St. Pierre","","849 W Boylston St","","Worcester","MA","01606-3032","DelSignore Electrical Contractors, Inc. has been providing commercial electrical, fire alarm, network and fiber optic cabling and access control installations to customers for over 15 years. During this time, we have earned a reputation as a responsive, dedicated and progressive electrical and low voltage contractor who consistently listens to and works with customers to design, install, and consistently deliver projects on time and within budget."
"494","Adaptivision","Flom, Stuart","Stuart Flom","","5 GRANT RD","","LYNNFIELD","MA","01940-1716",""
"495","That Corporation","","Richard Thornton","","45 Sumner St","","Milford","MA","01757-1656",""
"496","ENFIELD ENTERPRISES, INC.","","Daniel M Eastman","CEO","30 MAGAZINER PL","","SPRINGFIELD","MA","01104-3328","Inter&Exterior Renov.,GC,GenConstruct,Elevator repair & install, Landscaping, Snow Removal Roofing,Painting,HVAC,Paving,Asbestos&LeadAbate,Warehousing Plumbing Heating & HVAC Electrical Drywall Acoustical Ceilings Plastering Wrecking &Demo"
"497","National Boston Video Center Inc","Rumbel Strip","Andrew  Hawkridge","","115 Dummer St","","Brookline","MA","02446-3628",""
"498","Daymark Solutions, Inc. ","","Jeff Rushton","","18 Hartwell Ave ","","Lexington","MA","02421-3103",""
"499","Springfield Tower Square, LLC","Tower Square","Vidhyadhar Mitta","","1500 Main St","","Springfield","MA","01115-0000",""
"500","COTTON TREE SERVICE INC","","KIM COTTON","","248 HATFIELD ST","","NORTHAMPTON","MA","01060-1519",""
"501","A B C TESTING INC","","BRUCE M. RICHARDSON","director","95 1ST ST","","BRIDGEWATER","MA","02324-1054","We are a non-destructive testing laboratory, specialized in welding, casting, and joining process analysis."
"502","Baystate Electronics, Inc. ","Baystate Audio Visual ","David Knight","","150 Lorum St ","","Tewksbury","MA","01876-1700",""
"503","Heritage Place LLC","","RYAN DESMOND","","1600 Osgood St Ste 2059","","North Andover","MA","01845-1048",""
"504","KENWORTH OF SE NEW ENGLAND INC","","John  Ellis","","1150 W CHESTNUT ST","","BROCKTON","MA","02301-5591",""
"505","ACS Material LLC","","Richard Ploss","","18 Vernon St","","Medford","MA","02155-2213",""
"506","Anaptyx, LLC ","","Kenneth B Carnesi","","18 BRIDGE ST ","","WATERTOWN","MA","02472-4811","Our exemplary track record since 2007 with government, municipalities and property owners allows us to deploy some of the most successful networks with unsurpassed efficiency."
"507","CAVOSSA DISPOSAL CORPORATION","","Carl F Cavossa","","210 NATHAN ELLIS HWY","","EAST FALMOUTH","MA","02536-4143","Solid waste hauling, recycling, roll off, compactors, residential collection"
"508","DENATOR US CORP.","","John Lindsay","","245 First St Ste 1800","","Cambridge","MA","02142-1292",""
"509","SIMFER PRECISION MACHINE CO","","POMPEO  SIMEONE","","42 MANNING RD","","BILLERICA","MA","01821-3915",""
"510","Boston Freightliner, Inc.","","Bobby Rattanasone","","2 Rivergreen Dr","","Everett","MA","02149-1939",""
"511","CABEM Technologies LLC","","JAY  FREDKIN","","6 Lasden Brothers Way Fl 2","","Franklin","MA","02038-2671","CABEM Technologies recommends, builds, deploys and integrates IT Solutions tailored to the needs of each customer. CABEM is providing solutions to progressive companies of all sizes, academic institutions, and the military. CABEM's Competency Manager software application is designed for ISO, EHS, and HR compliance systems and other regulated industries to train employees and manage their competency."
"512","Aquinnah Pharmaceuticals, Inc. ","","Glenn Larsen","","27 Placid Rd ","","Newton","MA","02459-2608",""
"513","Vecna Technologies, Inc.","Vecna Medical","Michael Bearman","Director of Marketing","36 CAMBRIDGEPARK DR STE 36","","CAMBRIDGE","MA","02140-2313","Object Oriented Programming,Java,C++,Systems Integration,Web Based App,Database Backed App and Admin, System Architecture, Secure Networking, Linux, Windows NT, Unix, Oracle, Artificial Intel., Robotics, Barcode, Kiosk, Handheld Apps, Medical Surveillance"
"514","MAINTENANCE RESELLER CORP","","WILLIAM  BEAN","","400 W CUMMINGS PARK STE 4450","","WOBURN","MA","01801-6594","Our mission is simple we aim to assist engineers, manufacturers, designers and all CAD software users. to produce their final product by facilitating the purchase or renewal of PTC software such as PTC CREO, MATHCAD, WINDCHILL, PLM Cloud, and ARBORTEXT. Throughout the process of assisting our customers in CAD software purchases"
"515","All-Comm Technologies, Inc.","","PAUL B Boudreau","President","5 Whitmore Rd","","Revere","MA","02151-5916","Sell, install, and service two-way radio products and accessories. Sell and install emergency signal systems and vehicle cabinet and console systems. In-building RF signal booster systems."
"516","R. ZOPPO CORP.","","David Zoppo","","160 OLD MAPLE ST","","STOUGHTON","MA","02072-1934",""
"517","Citron Hygiene US Corp.","","Amy Zelones","","13 Linnell Cir","","Billerica","MA","01821-3902",""
"518","Massachusetts Audio Visual Equipment Corp.","Mass AV","Jeffrey Robinson","","3 Radcliff Rd","","Tewksbury","MA","01876-1181",""
"519","Microwave Components Inc","","Robin Nazarian","","1794 Bridge St 21 R","","Dracut","MA","01826-2688",""
"520","R. P. O'CONNELL, INC","","DONALD FENNYERY","","3 HURON DR","","NATICK","MA","01760-1023",""
"521","E. B. Atmus Co., Inc. ","","GORDON   D Mulvey","","65 Main St ","","Springfield","MA","01105-2405",""
"522","LAWRENCE WASTE SERVICES","","Miranda Allard","","49 ALDER ST","","MEDWAY","MA","02053-2291",""
"523","SI2 TECHNOLOGIES, INC","","JOSEPH  KUNZE","","267 BOSTON RD","","NORTH BILLERICA","MA","01862-2310",""
"524","MABBETT & ASSOCIATES, INC.","","PAUL D STEINBERG, P.E., LSP","Director of Operations","5 ALFRED CIR","","BEDFORD","MA","01730-2318","Environmental, health and safety consulting and engineering services in site assessment/remediation, pollution control, wastewater/groundwater treatment, industrial hygiene, hazardous waste management, and training."
"525","Ceric Fabrication Co., Inc.","Ceric Fab Systems","Eric J Wesson","","70 Nemco Way","","Ayer","MA","01432-1537",""
"526","Adaptive Surface Technologies, Inc.","AST","Philseok Kim","","85 Bolton St Ste 122","","Cambridge","MA","02140-3367","World Leader in Repellent Coatings Solutions From synthesis, formulation, testing, application, and service Marine coating, Anti-fouling, Anti-corrosion, Anti-ice, Drag reduction, Industrial coating, Containers, Medical devices"
"527","UNITED ELECTRONIC INDUSTRIES, INC.","U E I","SHAUN MILLER","","27 RENMAR AVE","","WALPOLE","MA","02081-1515",""
"528","Oasis Systems, LLC","","Michael McElwain","CEO","200 Summit Dr","","Burlington","MA","01803-5264","Oasis specializes in information technology, systems and software development, systems engineering, program management, financial management, cost and accounting services."
"529","Newton Street II LLC","","Desheng Wang","","303 Worcester Rd","","Framingham","MA","01701-5358",""
"530","PLASTIC DISTRIBUTORS & FABRICATORS, INC.","","ROBERT DECELLE","","419 RIVER ST","","HAVERHILL","MA","01832-5114",""
"531","ALEXSYS CORPORATION","","RICHARD S BIANCHI","","14 PEBBLE PL","","STONEHAM","MA","02180-1421",""
"532","TRAINCROFT INC.","","Michael Ballard","Vice President of Operations","ZERO GOVENORS AVE STE 38","","MEDFORD","MA","02155-3308","Traincroft Inc. is a global provider of engineering staffing services, on-site engineering support, technical publication & documentation on or off site, mechanics, contract personnel support, training, and Performance Based logistic support services."
"533","KLC Consulting, Inc.","","KYLE LAI","","225 Cedar Hill St Ste 200","","Marlborough","MA","01752-5900","KLC has some of the most experienced CyberSecurity Experts that have worked in DoD and Government sectors, familiar with NIST CyberSecurity Framework (CSF), Risk Assessment, FISMA, NIST RMF (past DIACAP), Information Assurance, Regulatory Compliance (including SOX, HIPAA, HITECH, PCI, FFIEC), ISO 27001 & 27002, Privacy, Vendor Risk Management, Penetration Testing, Vulnerability Assessment."
"534","Queues Enforth Development, Inc.","Qed","David D Varney","","92 Montvale Av Suite 4350","","Stoneham","MA","02180-0000",""
"535","Opco Laboratory, Inc. ","","Arlene Nevin","","704 River St ","","Fitchburg","MA","01420-2913","Optcical Manufacturer, Lens, prisms, beamsplitters, mirrors. Optical thin-film coatings. Diffreaction gratings and surface replication."
"536","Direct Network Services, Inc. ","","Michael Duhigg","Director, Sales & Marketing","20 Taylor St ","","Littleton","MA","01460-1416","DNS services: wireless network design, consulting and frequency planning, site surveys, spectrum analysis, path analysis, and installations; post sales services including special warranty plans and customized maintenance agreements."
"537","MCX SITE, LLC","","TIMOTHY C Williams","","259 NORTH ST STE 2","","HYANNIS","MA","02601-3834",""
"538","LAWRENCE-LYNCH MATERIALS CORP.","","Gerald T Lynch","","396 GIFFORD ST","","FALMOUTH","MA","02540-2912",""
"539","DYNAMIC INSULATION INC","","PAUL BIZZOZERO","","9 FILLMORE ST REAR","","BEVERLY","MA","01915-6185","Commercial Insulation"
"540","BORMANN BROTHERS, INC.","","Shirley  E Donovan","","30 LOMAR PARK DR","","PEPPERELL","MA","01463-1416",""
"541","SURGICAL TABLES INCORPORATED","","Christine Cooke","","2 DEBUSH AVE BLDG A UNIT 2","","MIDDLETON","MA","01949-2211",""
"542","I. F. Engineering, Corp.","","Lois Foshay","PRESIDENT","3 Foshay Rd","","Dudley","MA","01571-0000","Manufacture components and sub-systems for the processing of HF, VHF, UHF, RF and Microwave signals."
"543","MSP DIGITAL MARKETING OF MASSACHUSETTS, INC.","TecDocDigital Solutions","Shaylyn Coons","","399 River Rd","","Hudson","MA","01749-2627",""
"544","Aries Systems Corporation","","Trisha Pulver","","50 High St Ste 21","","North Andover","MA","01845-2620",""
"545","RREF II 170 Charles LLC","John Jeffries House Boston","Stephanie Esposito","","14 David G Mugar Way","","Boston","MA","02114-3203",""
"546","Cyber 360, Inc.","Cyber 360 Solutions","Heather D Aiello","","1600 PROVIDENCE HWY STE 1","","WALPOLE","MA","02081-2551","Cybersecurity Workforce Specialists supporting organizations struggling to locate and attract Cyber, Information, and Network Security personnel. We identify the top 10% of Cyber Professionals available to support all aspects o of Cyber/InfoSec."
"547","Steve's Collision Center Incorporated","","Brenda  L Lacaire","","210 Charlton Rd","","Sturbridge","MA","01566-1506",""
"548","BioTrans LLC","Biotrans","Sean Harding","","15 JONATHAN DR STE 1","","BROCKTON","MA","02301-5566",""
"549","DTM Packaging, LLC","","Shannon Farrell","","150 Recreation Park Dr Ste 4","","Hingham","MA","02043-4227",""
"550","Ideal Property Maintenance Inc","","Debra A Moore","","96 LAKE ST","","TEWKSBURY","MA","01876-4423","At Ideal Property Maintenance Inc., we'll fix any job big or small. Whether you are looking for someone to unblock your gutter, freshen your house with some redecoration, install your new kitchen or bathroom or give your property a full refurbishment, then IDeal Property Maintenance is the company for you! We offer an experienced, friendly and reliable service to get your jobs done hassle free! Call us today to get started!"
"551","IX CAMERAS INC ","","Leah Holber","","50 SAMOSET RD ","","WINCHESTER","MA","01890-3442",""
"552","Almar LLC","","Alex Green","","106 Adams St Ste 106","","MEDFIELD","MA","02052-1580",""
"553","Plansee USA LLC","PLANSEE","Christine  Mikula","","115 Constitution Blvd","","Franklin","MA","02038-2584",""
"554","Neuralify, LLC","","Peter Kirkman","","158 Alcott Rd","","Concord","MA","01742-2605",""
"555","American Boronite Corporation","Boronite","DAVID LASHMORE","","11 Cypress Drive","","Burlington","MA","01803-4907",""
"556","JPAnalytics LLC","","James Preisig","","82 Technology Park Dr","","East Falmouth","MA","02536-4441","JPAnalytics works with clients and partners in the defense, intelligence, and commercial sectors to create innovative solutions to challenging signal processing problems and analyze proposed solutions. This includes developing and analyzing algorithms to run on everything from supercomputers to small, low-power embedded systems and analyzing, proving feedback on and troubleshooting existing or developing techniques and systems. In addition, JPAnalytics defines basic and applied research directions, proposes and develops programs, and conducts research in the areas of interest to clients. JPAnalytics has broad experience in adaptive signal processing, signal detection and analysis, communications (specifically underwater acoustic communications) and array processing, and underwater acoustics."
"557","Ramp Holdings Inc.","Ramp Holdings","Anthony D'Amore","","100 FRANKLIN ST STE 705","","BOSTON","MA","02110-1554",""
"558","Generic Logic Inc","","EMILY  Krasnik","","6 UNIVERSITY DR # 206-125","","AMHERST","MA","01002-2360",""
"559","ACORN INTERNATIONAL, LLC","","DEAN  SLOCUM","","37 PLEASANT ST","","SOUTH DARTMOUTH","MA","02748-3441","We deliver environmental and social risk management consulting services. We do so through a distinctive process of partnering with, directing and building capacity of local expert teams in more than 70 countries worldwide."
"560","MINI-SYSTEMS, INC.","ELECTRONIC PACKAGE DIVISION","HEATHER EDWARDS","","168 E BACON ST","","PLAINVILLE","MA","02762-2107",""
"561","CAMINITI CONSULTING COMPANY, INC.","","DEBRA CAMINITI","","1 GREYSTONE CT","","BURLINGTON","MA","01803-3822","Our primary role is to provide oversight and coordination for all aspects of a construction project from preconstruction through owner acceptance. We manage the project from the owner's perspective to ensure that it is delivered on schedule, within budget, and with the highest quality possible. We view ourselves as an extension of the owner and solely represent the owner’s interest independent of the construction manager and the general contractor."
"562","CUNNINGHAM RETIREMENT COMMUNITY HOME FOR VETERANS","CUNNINGHAM REALTY","LYNN C Herron","","153 APPLETON ST","","LOWELL","MA","01852-2506",""
"563","KC Mechanical, LLC","","JAMES R KIRST","","49 Sam West Rd","","Southwick","MA","01077-9803","RESIDENTIAL AND COMMERCIAL HVAC AND PLUMBING"
"564","ACENTECH INCORPORATED","","Sarah  McGillicuddy","","33 MOULTON ST","","CAMBRIDGE","MA","02138-1118","Consulting services"
"565","MILL CITY ENVIRONMENTAL CORPORATION ","","BRIAN  L CHAPMAN","President","116 JOHN ST STE 8 ","","LOWELL","MA","01852-1124","Remediation: Excavation and Demolition, Asbestos Abatement;Waste Management: Haz/Non-Haz, Bulk, Drum, Liquid:Steel Recycling Dewatering,GWT O&M: Construction Services: Vertical, Horizontal, Infrastructure, Rehab/Remodeling, Residential, Commercial"
"566","Wm Duggan Company Inc ","Atlas Van ","William P Duggan","","3 Industrial Rd ","","Walpole","MA","02081-1304",""
"567","PROFESSIONAL STAFFING ASSOCIATES LLC","","WILLIAM  J MAHONEY","","1 CHARLES ST S STE # 304","","BOSTON","MA","02116-5452","Graduate US Naval Academy, HVAC and Mechanical Engineering, Contract Administration"
"568","Delsys, Inc.","","Pamela  Chen","","23 Strathmore Rd","","Natick","MA","01760-2448","Designing and manufacturing of electromyographic technology"
"569","V. J. Electronix, Inc.","","Donald Naugler","","19 ALPHA RD","","CHELMSFORD","MA","01824-4124",""
"570","Magnolia Optical Technologies, Inc.","","Yash R Puri","","52-B, Cummings Park, Suite 314","","Woburn","MA","01801-0000","Research and development of advanced optoelectronic sensors."
"571","HHG DBA Bonefide Productions, LLC","Bonefide Productions","Teresa Hand","","30 Newbury St","","Boston","MA","02116-3236","Full service union producer for TV and Audio commercials, Corporate/Educational videos, New Media, Music, Music Video and more"
"572","Rotek Instrument Corp ","","Carol Blair","","390 Main St ","","Waltham","MA","02452-6640","ROTEK INSTRUMENT CORP. IS A MANUFACTURER OF ELECTRICAL TEST EQUIPMENT DESIGNED TO CALIBRATE A WIDE RANGE OF ELECTRICAL METERS."
"573","ALARES LLC","","DONALD  MAGGIOLI","","248 COPELAND ST","","QUINCY","MA","02169-4005","General Construction service and engineering specifically energy audits and retrocommissioning."
"574","RAYMOND JAMES RESTORATION, INC.","","Raymond J Simoncini","","100 NORTH ST","","WORCESTER","MA","01605-3238",""
"575","TEK MICROSYSTEMS, INCORPORATED","","Andrew Reddig","","300 APOLLO DR STE 3","","CHELMSFORD","MA","01824-4112","Signal acquisition, processing, generating and recording systems for Signals Intelligence, Electronic Warfare, Radar and other deployed and rugged mission applications."
"576","Virtual Research Associates, Inc.","V R A","DOUG BOND","President","20 WATERTOWN ST UNIT 218","","WATERTOWN","MA","02472-2583",""
"577","Cimetrics Inc.","","James F Butler","","180 Lincoln St Ste 3","","Boston","MA","02111-2400",""
"578","Zogics, LLC","","Paul LeBlanc","","10 Valley St","","Lee","MA","01238-0000",""
"579","Alcresta Therapeutics, Inc.","","Jim Kevil","","ONE NEWTON EXECUTIVE PARK STE 100","","Newton","MA","02462-1435",""
"580","BEACON TELECOM INC","","Jim Filbin","","80 CEDAR ST","","CANTON","MA","02021-4218",""
"581","Bambu Vault LLC","Bambu Global","Michael Horner","","116 John St Ste 130","","Lowell","MA","01852-1128","PI’s core competencies include imaging science and chemistry, coating technologies, physics, and polymer chemistry. Our color indication is triggered by a variety of stimuli, such as chemical presence, stress, temperature, light, radiation, and bacteria."
"582","Wall Street Prep Inc ","","Megan Hester","","1330 Beacon St, Ste 352 ","","Brookline","MA","02446-3204",""
"583","Newton Distributing Company, Inc.","Newton","LANCE  LAFAVE","","245 W Central St","","Natick","MA","01760-3774","Master Distributor for Sloan Valve and Excel Dryer featuring the XLerator hand dryers that dry hands fast (10 seconds!), use 80% less energy than traditional hand dryers and cut costs by 90% vs. paper towels."
"584","DAVE'S TRUCK REPAIR, INC.","","David Proulx","","1023 PAGE BLVD","","SPRINGFIELD","MA","01104-1627","Dave's Truck Repair, Inc. is one of the largest fully qualified 'state of the art' repair facilities in the Greater Springfield Area. Conveniently located just 1 mile south of the Mass Pike's Exit 6, at Exit 5 off of I-291, we specialize in heavy to light duty truck repair, and are experienced in all types of trailer, motor home and bus repair."
"585","Schmidt Equipment, Inc. ","John Deere ","Dennis A Neslusan","","80 Southbridge Street ","","North Oxford","MA","01537-1208",""
"586","GEORGE T. WILKINSON, INC.","","JOHN SIEMINSKI","","405 VFW DR STE 1","","ROCKLAND","MA","02370-1160",""
"587","Air Technologies, Inc. ","","Philip Russo","","125 LIBERTY ST STE 3 ","","DANVERS","MA","01923-3325",""
"588","NSTAR Electric Company","Eversource Energy","DAVID  OLIVIER","","800 Boylston St","","Boston","MA","02199-1900",""
"589","Primaira, LLC","","KAREN  Benedek","","225 Wildwood Ave","","Woburn","MA","01801-3140",""
"590","Boston Electronics Corporation","","FRED  PERRY","","91 Boylston St","","Brookline","MA","02445-7602","Specialist in photodetection, signal processing for photodetection, and photon sources UV-visible-IR including single photon detection"
"591","Dunning, Kirrane, Mcnichols & Garner, L.L.P.","","Blaise Stapleton","","133 Falmouth Rd Ste A Rte 28","","Mashpee","MA","02649-2611",""
"592","SKAION CORPORATION","","LUIGI SPAGNUOLO","Clerk","51 MIDDLESEX ST UNIT 114","","NORTH CHELMSFORD","MA","01863-1564","Internet or other computer networks simulation and traffic generation for stress-testing computer security or other analysis products. Custom computer programming, network design and network troubleshooting. Customized software for traffic generation."
"593","Robert Reiser & Co, Inc.","","Helen Eldracher","","725 Dedham St","","Canton","MA","02021-1402",""
"594","HYDRO-TEST PRODUCTS, INC.","","Thomas Sauta","","85 HUDSON RD","","STOW","MA","01775-1216",""
"595","PARLANCE CORPORATION","","Joseph Maxwell","","400 W CUMMINGS PARK STE 2000","","WOBURN","MA","01801-7244",""
"596","Edward Davis, LLC","","Cheryl Joyce","","2 Atlantic Ave 3rd FL","","BOSTON","MA","02110-3919",""
"597","Torden LLC ","","Katherine O Peltier","","227 Union St 506-507 ","","New Bedford","MA","02740-5960","Torden is a Service Disabled Veteran Owned Small Business (SDVOSB) founded by a team with extensive, worldwide national security experience and proven results. With experience working in 25 countries, Torden maintains a vast knowledge regarding U.S. Government operational requirements. Based out Massachusetts, Torden has an active presence in Virginia, Alabama, Georgia, California, and our nation’s capital. Our deployed workforce is located in Afghanistan, Cameroon, Niger, Somalia, and Djibouti. Our accounting system is approved for Government cost-type contracts. We offer extremely cost competitive solutions. Our core services include Language Solutions, Intelligence Services, Mission & Sustainment Support Services, and Professional Development and Training."
"598","WATERS CORPORATION","","Alicia Shannon","","34 MAPLE ST","","MILFORD","MA","01757-3604",""
